cancion,artista,fecha_lanzamiento,rank_global,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,tiktok_posts,tiktok_views,shazam_counts,anio_lanzamiento
MILLION DOLLAR BABY,Tommy Richman,2024-04-26,1,725.4,"390,470,936","30,716","196,631,588",92.0,"84,274,754","5,767,700","5,332,281,936","2,669,262",2024
Not Like Us,Kendrick Lamar,2024-05-04,2,545.9,"323,703,884","28,113","174,597,137",92.0,"116,347,040","674,700","208,339,025","1,118,279",2024
i like the way you kiss me,Artemas,2024-03-19,3,538.4,"601,309,283","54,331","211,607,669",92.0,"122,599,116","3,025,400","3,369,120,610","5,285,340",2024
Flowers,Miley Cyrus,2023-01-12,4,444.9,"2,031,280,633","269,802","136,569,078",85.0,"1,096,100,899","7,189,811","14,603,725,994","11,822,942",2023
Houdini,Eminem,2024-05-31,5,423.3,"107,034,922","7,223","151,469,874",88.0,"77,373,957","16,400",,"457,017",2024
Lovin On Me,Jack Harlow,2023-11-10,6,410.1,"670,665,438","105,892","175,421,034",83.0,"131,148,091","4,202,367","2,938,686,633","4,517,131",2023
Beautiful Things,Benson Boone,2024-01-18,7,407.2,"900,158,751","73,118","201,585,714",86.0,"308,723,145",,"534,915,313","9,990,302",2024
Gata Only,FloyyMenor,2024-02-02,8,375.8,"675,079,153","40,094","211,236,940",92.0,"228,382,568","3,500,000","3,804,584,163","6,063,523",2024
Danza Kuduro - Cover,MUSIC LAB JPN,2024-06-09,9,355.7,"1,653,018,119",1,15,,,,,,2024
BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,10,330.6,"90,676,573","10,400","184,199,419",86.0,"32,735,244","325,800","974,656,200","666,302",2024
I Had Some Help (feat. Morgan Wallen),Post Malone,2024-05-10,11,322.1,"250,080,413","16,219","168,766,158",91.0,"32,229,063",,"2,100,000","963,413",2024
The Door,Teddy Swims,2024-06-14,12,320.2,"111,155,129",2,"263,767",,,,,,2024
LUNCH,Billie Eilish,2024-05-17,13,316.3,"221,636,195","13,800","197,280,692",92.0,"40,022,524","195,300","360,017,000","450,344",2024
Like That,Future,2024-03-22,14,308.2,"355,186,436","43,025","108,168,634",88.0,"98,081,493",,,"1,963,314",2024
bathroom floor,Kids With Buns,2022-10-07,15,301.6,"297,185",277,"24,445",12.0,"6,736,502,312",3,"22,234","3,288",2022
LALA,Myke Towers,2023-03-22,16,299.9,"925,655,569","103,605","79,944,921",79.0,"934,302,031","11,054,500","7,499,234,052","2,765,808",2023
Fortnight (feat. Post Malone),Taylor Swift,2024-04-18,17,297.6,"395,433,400","12,784","177,932,568",89.0,"104,673,836","139,300","207,317,000","1,210,029",2024
greedy,Tate McRae,2023-09-14,18,293.7,"1,258,569,694","105,218","198,845,580",87.0,"141,646,818","2,294,429","5,456,156,211","6,973,652",2023
BLUE,Billie Eilish,2024-05-17,19,292.6,"91,272,461","6,499","52,287,548",86.0,"16,038,053","941,900","1,225,345,800","257,661",2024
